name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,duck_index,RwoB_index,big_match_index,prelim_metric,prelim_rank
Mohammed Rizlan,QAT,27.68,116.88,0.136,2.259,0.296,0.074,8.148,0.111,32.352,Best
Zeeshan Kukikhel,HUN,34.8,165.18,0.278,5.867,0.0,0.0,7.733,0.333,57.483,Best
F Behardien,SA,32.37,128.21,0.131,1.767,0.467,0.033,9.133,0.033,41.502,Best
P Mishra,BUL,14.0,129.5,0.19,1.949,0.051,0.103,3.385,0.077,18.13,Average
TWM Latham,NZ,25.8,108.86,0.105,2.174,0.13,0.043,13.043,0.13,28.086,Good
S Adedeji,NGA,22.3,87.99,0.094,2.037,0.148,0.111,9.815,0.111,19.622,Average
MJ Richardson,GER,30.05,103.86,0.106,2.167,0.292,0.0,12.208,0.083,31.21,Best
V Sibanda,ZIM,20.44,101.59,0.125,2.423,0.038,0.115,9.115,0.038,20.765,Good
MWR Stokes,GUE,28.38,108.26,0.106,2.174,0.217,0.043,12.652,0.043,30.724,Best
Faisal Khan,KSA,25.4,167.65,0.287,3.955,0.091,0.182,4.727,0.136,42.583,Best
Karim Janat,AFG,18.14,116.51,0.133,1.758,0.152,0.091,6.909,0.091,21.135,Good
Noor Ali Zadran,AFG,26.63,101.81,0.103,2.55,0.05,0.05,14.5,0.15,27.112,Good
C de Grandhomme,NZ,15.78,138.35,0.156,1.462,0.179,0.154,5.564,0.077,21.832,Good
Nawroz Mangal,AFG,18.03,111.47,0.135,1.906,0.125,0.125,6.969,0.062,20.098,Good
Imran Nazir,PAK,21.73,135.13,0.219,3.375,0.042,0.083,5.5,0.125,29.364,Good
Haider Ali,PAK,18.48,126.32,0.162,2.133,0.1,0.1,6.633,0.1,23.344,Good
Janak Prakash,SGP,20.79,124.12,0.124,1.515,0.273,0.061,7.848,0.03,25.805,Good
S Periyalwar,ROM,27.61,108.75,0.129,2.107,0.357,0.071,8.607,0.143,30.026,Good
TP Visee,NED,16.0,146.31,0.251,2.742,0.0,0.161,3.935,0.097,23.41,Good
FA Cossa,MOZ,30.93,123.44,0.18,3.0,0.333,0.125,6.542,0.125,38.18,Good
HC Brook,ENG,29.05,141.54,0.175,2.905,0.19,0.0,9.714,0.095,41.117,Good
Shafiqullah,AFG,16.46,145.29,0.194,1.571,0.286,0.119,4.0,0.024,23.915,Good
Dylan Steyn,CZK-R,30.81,132.52,0.177,4.125,0.0,0.0,13.312,0.25,40.829,Good
K Kadowaki-Fleming,JPN,41.08,157.0,0.207,5.0,0.077,0.0,13.462,0.385,64.496,Good
J Rasu,VAN,20.5,112.84,0.126,2.037,0.111,0.111,8.667,0.074,23.132,Good
SKS Gill,LUX,24.55,97.42,0.097,2.227,0.091,0.091,12.682,0.0,23.917,Good
S Muniandy,MAL,17.5,128.27,0.139,1.178,0.378,0.067,5.156,0.0,22.447,Good
Adnan Idrees,KUW,18.8,142.15,0.23,3.038,0.0,0.154,4.962,0.115,26.724,Good
MJ Clarke,AUS,21.21,103.17,0.082,1.393,0.179,0.071,11.143,0.036,21.882,Good
B Ward,JER,25.63,128.15,0.145,2.037,0.296,0.037,7.815,0.037,32.845,Good
Imad Wasim,PAK,15.18,131.7,0.157,1.318,0.273,0.136,5.273,0.023,19.992,Average
CJ Anderson,NZ,24.25,138.17,0.16,2.333,0.167,0.125,8.708,0.083,33.506,Good
I Liyanage,QAT,28.52,118.87,0.164,3.19,0.19,0.095,9.0,0.143,33.902,Good
R Bakum,Ghana,22.9,144.01,0.183,2.542,0.125,0.125,7.542,0.167,32.978,Good
V Balakrishnan,BOT,25.31,111.08,0.134,2.522,0.174,0.0,9.348,0.174,28.114,Good
N Dickwella,SL,18.46,131.14,0.191,2.593,0.037,0.074,6.741,0.037,24.208,Good
SW Billings,ENG,17.07,129.89,0.155,1.727,0.152,0.03,6.606,0.061,22.172,Good
GJ Bailey,AUS,24.89,136.7,0.165,2.192,0.269,0.038,7.885,0.077,34.025,Good
Raza Iqbal,NOR,23.5,119.59,0.17,2.913,0.13,0.043,8.087,0.174,28.104,Good
Aasif Sheikh,NEP,24.63,121.24,0.163,3.15,0.05,0.15,9.1,0.1,29.861,Good
NJ O'Brien,IRE,17.92,98.1,0.099,1.679,0.071,0.0,9.429,0.036,17.58,Average
CN Ackermann,NED,25.83,115.67,0.112,2.045,0.182,0.091,11.955,0.045,29.878,Good
H Singh,GER,20.21,119.84,0.134,1.857,0.179,0.036,8.75,0.036,24.22,Good
RE van der Merwe,NED/SA,21.13,127.39,0.137,1.389,0.389,0.194,6.639,0.056,26.918,Good
JEC Franklin,NZ,20.13,118.41,0.13,1.645,0.258,0.065,6.871,0.065,23.836,Good
R Pathan,CAN,51.44,161.32,0.24,6.273,0.182,0.091,13.182,0.455,82.983,Good
JM Vince,ENG,27.23,128.25,0.169,3.588,0.0,0.0,11.235,0.118,34.922,Good
LS Livingstone,ENG,21.95,145.88,0.168,1.963,0.222,0.074,7.148,0.074,32.021,Good
TM Head,AUS,28.75,140.67,0.159,2.737,0.158,0.0,11.368,0.053,40.443,Good
RA Jadeja,IND,24.05,124.52,0.125,1.353,0.441,0.059,7.324,0.0,29.947,Good
JD Ryder,NZ,22.85,127.65,0.182,3.095,0.048,0.095,7.667,0.143,29.168,Good
D Wiese,NAM/SA,22.65,125.83,0.128,1.533,0.333,0.1,7.767,0.067,28.5,Good
Saud Islam,UGA,26.58,106.1,0.122,2.737,0.105,0.211,11.895,0.158,28.201,Good
Rameez Shahzad,UAE,24.94,111.13,0.124,2.381,0.143,0.095,10.619,0.048,27.716,Good
Anshuman Rath,HKG,22.4,98.89,0.11,2.273,0.091,0.045,11.091,0.045,22.151,Good
Mohamed Rishwan,MDV,20.36,102.98,0.138,2.609,0.043,0.0,7.217,0.13,20.967,Good
Anamul Haque,BAN,24.72,112.65,0.152,3.0,0.1,0.05,8.85,0.05,27.847,Good
Nurul Hasan,BAN,16.48,118.35,0.114,1.049,0.341,0.098,5.878,0.0,19.504,Average
Usman Patel,KUW,22.2,120.32,0.171,2.739,0.13,0.087,7.565,0.174,26.711,Good
Mirza Ahsan,Aut,21.09,163.46,0.207,2.074,0.222,0.037,6.259,0.148,34.474,Good
JK Vifah,Ghana,21.04,112.75,0.13,2.125,0.125,0.0,8.917,0.125,23.723,Good
Younis Khan,PAK,22.1,121.42,0.118,1.87,0.13,0.087,10.696,0.087,26.834,Good
A Mansale,VAN,19.17,111.08,0.106,1.615,0.115,0.192,9.346,0.077,21.294,Good
J Barker,LUX,27.18,98.86,0.084,1.48,0.36,0.08,11.24,0.0,26.87,Good
ND Laegsgaard,DEN,21.75,146.46,0.219,2.955,0.091,0.136,5.955,0.091,31.855,Good
E Niyomugabo,RWN,11.44,103.08,0.097,1.0,0.073,0.098,5.878,0.049,11.792,Average
CJ Jordan,ENG,14.46,131.91,0.158,0.963,0.444,0.056,3.407,0.0,19.074,Average
NR Kumar,CAN,31.0,129.16,0.14,2.938,0.125,0.062,13.75,0.188,40.04,Good
D Ndikubwimana,RWN,14.46,81.27,0.081,1.265,0.118,0.088,7.176,0.059,11.752,Average
Najjam Shahzad,PORT,30.57,140.32,0.184,2.947,0.263,0.053,7.684,0.053,42.896,Good
M Simpson-Parker,Aut,17.83,97.27,0.095,1.615,0.077,0.115,9.231,0.077,17.343,Average
Azhar Andani,PORT,38.81,125.21,0.15,4.25,0.083,0.0,17.417,0.333,48.594,Good
Mohammad Nawaz,PAK,17.79,130.58,0.168,1.571,0.314,0.114,4.829,0.0,23.23,Good
PL Mommsen,SCOT,34.91,127.35,0.131,2.263,0.368,0.053,11.842,0.105,44.458,Good
Kuldeep,PORT,32.0,161.86,0.249,4.571,0.071,0.0,7.857,0.214,51.795,Good
A Dizija,SRB,31.84,127.77,0.173,4.308,0.0,0.077,12.308,0.308,40.682,Good
KH Prajapati,OMA,19.57,105.65,0.131,2.217,0.087,0.087,8.13,0.087,20.676,Good
AR Ramjani,UGA,31.61,133.87,0.156,2.824,0.235,0.0,10.882,0.118,42.316,Good
JO Holder,WI,14.53,119.7,0.132,1.184,0.263,0.132,4.816,0.0,17.392,Average
MW Machan,SCOT,40.7,127.98,0.138,3.385,0.231,0.0,16.692,0.231,52.088,Good
PK Matautaava,VAN,19.33,145.0,0.186,2.261,0.087,0.217,6.435,0.13,28.028,Good
Sharjeel Khan,PAK,22.55,133.11,0.223,3.778,0.0,0.0,5.778,0.111,30.016,Good
Aarif Sheikh,NEP,21.31,106.86,0.116,1.76,0.24,0.04,8.52,0.0,22.772,Good
DM Bravo,WI,21.31,106.86,0.121,2.091,0.136,0.136,8.773,0.0,22.772,Good
EC Joyce,ENG/IRE,33.75,93.96,0.081,2.333,0.2,0.0,17.0,0.067,31.711,Good
B Masaba,UGA,19.23,109.18,0.132,1.581,0.323,0.065,6.258,0.0,20.995,Good
BJ Haddin,AUS,17.47,114.52,0.123,1.483,0.207,0.069,7.034,0.0,20.007,Good
A Johnson,CAN,67.0,166.8,0.27,9.286,0.143,0.143,13.143,0.857,111.756,Good
M Campopiano,ITA,40.1,124.92,0.14,3.462,0.231,0.077,15.0,0.231,50.093,Good
RT Ponting,AUS,28.64,132.78,0.172,3.25,0.125,0.125,10.688,0.125,38.028,Good
HH Gibbs,SA,18.18,125.78,0.179,2.478,0.043,0.174,6.435,0.13,22.867,Good
O Harvey,Ghana,26.6,116.32,0.137,2.611,0.167,0.0,10.278,0.167,30.941,Good
Shan Masood,PAK,30.38,121.91,0.114,2.176,0.235,0.118,13.706,0.176,37.036,Good
AM Tribe,JER,21.94,113.5,0.144,2.632,0.053,0.053,9.105,0.105,24.902,Good
Basil Hameed,UAE,17.13,117.26,0.104,1.129,0.258,0.032,7.226,0.0,20.087,Good
Hussain Talat,PAK,24.62,118.31,0.126,2.333,0.111,0.056,12.0,0.111,29.128,Good
DK Mathias,BHR,32.83,107.94,0.126,2.875,0.25,0.0,10.5,0.125,35.437,Good
V Sehwag,IND,21.88,145.38,0.218,3.278,0.0,0.056,7.0,0.111,31.809,Good
OJ Hairs,SCOT,23.05,192.15,0.309,3.15,0.15,0.15,4.1,0.15,44.291,Good
SKA Awiah,Ghana,30.07,104.26,0.125,3.357,0.071,0.071,13.214,0.071,31.351,Good
NM Odhiambo,KENYA,16.95,98.73,0.096,1.357,0.179,0.143,7.714,0.071,16.735,Average
Mohammad Nadeem,OMA,17.68,105.99,0.093,1.214,0.214,0.036,8.107,0.036,18.739,Average
Mosaddek Hossain,BAN,18.52,114.07,0.109,1.194,0.323,0.129,7.065,0.0,21.126,Good
Rizwan Cheema,CAN,17.68,123.88,0.194,2.542,0.083,0.208,3.708,0.083,21.902,Good
S Thakor,TAN,16.16,163.02,0.248,1.903,0.226,0.129,3.548,0.0,26.344,Good
MO Kitunda,TAN,14.33,99.48,0.121,1.621,0.069,0.034,5.897,0.0,14.255,Average
Omar Rassol,BUL,25.8,142.27,0.202,2.895,0.211,0.105,6.158,0.158,36.706,Good
M Shumba,ZIM,20.26,108.14,0.101,1.333,0.296,0.0,7.963,0.037,21.909,Good
MNM Aslam,KUW,21.05,108.28,0.117,2.05,0.1,0.1,9.75,0.05,22.793,Good
JP Kotze,NAM,22.17,123.2,0.17,2.889,0.056,0.056,7.056,0.111,27.313,Good
Mashrafe Mortaza,BAN,13.46,136.1,0.184,1.308,0.282,0.154,3.256,0.0,18.319,Average
Muhammad Muneeb,Belg,23.5,113.25,0.148,2.882,0.059,0.176,9.176,0.118,26.614,Good
RK Paudel,NEP,20.88,116.77,0.127,2.05,0.1,0.0,10.0,0.05,24.382,Good
Aziz Mohammad,Belg,25.0,141.5,0.219,3.625,0.062,0.062,5.938,0.188,35.375,Good
AM Rahane,IND,20.83,113.29,0.115,1.9,0.1,0.1,10.55,0.05,23.598,Good
SV Samson,IND,19.68,133.57,0.164,2.19,0.095,0.048,7.619,0.048,26.287,Good
A McAuley,IOM,23.31,92.55,0.077,1.824,0.059,0.059,14.412,0.059,21.573,Good
A Ferguson,Arg,31.0,95.38,0.113,2.933,0.2,0.067,12.533,0.2,29.568,Good
Nasir Hossain,BAN,18.5,113.49,0.113,1.542,0.167,0.083,8.667,0.083,20.996,Good
Rashid Khan,AFG,14.8,129.37,0.161,1.0,0.457,0.152,3.043,0.0,19.147,Average
DJ Hooda,IND,30.66,147.2,0.188,2.765,0.294,0.118,8.471,0.118,45.132,Good
Sahir Naqash,GER,23.0,132.85,0.144,1.481,0.407,0.222,6.815,0.037,30.556,Good
D Doyle-Calle,ESP,24.46,124.4,0.163,2.667,0.167,0.0,7.833,0.056,30.428,Good
BBJL Perera,ITA,28.23,111.89,0.143,2.938,0.188,0.0,9.812,0.062,31.587,Good
SO Ngoche,KENYA,14.07,110.24,0.13,1.103,0.333,0.128,4.359,0.0,15.511,Average
Faisal Mubashir,GER,33.18,101.1,0.094,2.0,0.353,0.118,12.882,0.059,33.545,Good
Awais Ahmed,ESP,21.41,117.41,0.148,2.3,0.15,0.15,7.5,0.1,25.137,Good
PJ Moor,ZIM,24.26,127.27,0.161,2.421,0.211,0.0,6.947,0.053,30.876,Good
Nasir Jamshed,PAK,21.35,113.43,0.144,2.556,0.056,0.056,8.611,0.111,24.217,Good
DA Blignaut,GER,18.1,92.11,0.084,1.32,0.2,0.04,8.0,0.0,16.672,Average
G Stewart,ITA,27.69,162.89,0.258,4.385,0.0,0.231,6.0,0.231,45.104,Good
L Ronchi,AUS/NZ,17.95,140.23,0.172,1.692,0.231,0.192,5.962,0.038,25.171,Good
Shahil Momin,Aut,21.05,99.72,0.07,1.19,0.19,0.048,12.095,0.048,20.991,Good
G Burrows,IOM,35.5,115.63,0.127,2.6,0.333,0.133,12.067,0.2,41.049,Good
MC Henriques,AUS,20.88,124.56,0.112,1.524,0.19,0.0,9.381,0.095,26.008,Good
Naseem Khushi,OMA,16.13,136.53,0.158,1.64,0.12,0.12,5.72,0.04,22.022,Good
A Shreshta,NGA,21.93,98.31,0.104,2.056,0.111,0.056,10.722,0.056,21.559,Good
K Irakoze,RWN,10.0,112.17,0.131,1.025,0.125,0.25,3.85,0.025,11.217,Average
D Kansonkho,MWI,17.35,87.62,0.101,1.818,0.091,0.136,8.227,0.045,15.202,Average
OA Shah,ENG,24.78,122.18,0.137,2.6,0.067,0.0,11.0,0.067,30.276,Good
SO Tikolo,KENYA,28.75,122.77,0.185,3.467,0.2,0.2,8.333,0.133,35.296,Good
S Chanderpaul,WI,20.17,98.84,0.112,1.773,0.227,0.0,8.045,0.0,19.936,Average
Aman Desai,SGP,17.1,127.13,0.145,1.95,0.0,0.1,7.9,0.1,21.739,Good
R Tari,VAN,17.89,109.32,0.08,0.962,0.269,0.115,8.462,0.038,19.557,Average
Abdul Waheed,KSA,21.18,101.49,0.117,2.053,0.158,0.0,9.211,0.0,21.496,Good
JJ Huo,MOZ,16.95,102.41,0.127,1.5,0.286,0.107,5.536,0.0,17.358,Average
Ahmed Hassan,MDV,17.78,91.35,0.092,1.7,0.05,0.05,9.7,0.05,16.242,Average
WIA Fernando,SL,11.62,94.13,0.092,1.065,0.065,0.129,6.161,0.0,10.938,Average
H Gori,CZK-R,30.63,132.15,0.208,4.818,0.0,0.091,8.273,0.091,40.478,Good
NMS Param,SGP,28.08,120.78,0.129,2.25,0.25,0.062,10.812,0.125,33.915,Good
A Symonds,AUS,48.14,169.34,0.216,3.909,0.364,0.182,13.182,0.182,81.52,Good
N Davin,NAM,22.33,155.09,0.222,3.0,0.062,0.062,7.062,0.062,34.632,Good
LM Jongwe,ZIM,13.95,117.13,0.133,1.152,0.273,0.121,4.939,0.0,16.34,Average
Shiraz Khan,KUW,22.33,107.37,0.106,1.32,0.4,0.04,6.76,0.04,23.976,Good
IO Okpe,NGA,16.7,108.44,0.084,1.182,0.091,0.045,9.091,0.045,18.109,Average
WAE Burton,SRB,20.75,158.09,0.281,3.278,0.111,0.278,3.222,0.056,32.804,Good
Amoluk Singh,Ghana,27.66,118.57,0.2,4.0,0.143,0.071,6.714,0.143,32.796,Good
IDA Damarell,GUE,25.46,109.96,0.136,2.733,0.133,0.0,10.067,0.133,27.996,Good
Faisal Javed,QAT,22.0,155.66,0.264,3.733,0.0,0.067,5.6,0.133,34.245,Good
Haroon Arshad,HKG,22.0,132.53,0.141,1.591,0.318,0.091,7.818,0.045,29.157,Good
E Sebareme,RWN,11.37,106.45,0.119,1.0,0.216,0.135,4.486,0.0,12.103,Average
M Akayezu,RWN,8.89,105.11,0.131,1.0,0.098,0.073,3.293,0.024,9.344,Poor
Ahmer Bin,BHR,21.86,118.41,0.123,1.789,0.211,0.0,9.263,0.053,25.884,Good
AR Patel,IND,20.5,147.74,0.18,1.429,0.429,0.036,4.929,0.036,30.287,Good
T Banton,ENG,23.35,147.96,0.208,3.286,0.0,0.0,7.786,0.143,34.549,Good
RJ Nicol,NZ,17.21,110.47,0.149,2.316,0.0,0.105,6.789,0.105,19.012,Average
BDH Stevens,JER,17.21,97.61,0.107,1.8,0.05,0.05,8.55,0.0,16.799,Average
S Vesawkar,NEP,23.21,99.08,0.101,1.737,0.263,0.0,9.421,0.0,22.996,Good
Hamza Tariq,CAN,29.45,161.19,0.204,2.05,0.45,0.1,6.6,0.15,47.47,Good
D Muhumuza,UGA,23.14,105.53,0.124,1.727,0.364,0.045,6.727,0.091,24.42,Good
LE Bosman,SA,24.84,147.48,0.215,3.357,0.071,0.143,6.786,0.214,36.634,Good
S Nadigotla,ROM,15.38,116.6,0.134,1.682,0.045,0.045,7.045,0.045,17.933,Average
CP Rizwan,UAE,24.84,109.49,0.105,1.938,0.188,0.0,11.688,0.062,27.197,Good
PV Vuniwaqa,Fiji,35.88,156.03,0.242,5.0,0.1,0.0,8.1,0.2,55.984,Good
Umar Adam,MDV,14.59,116.72,0.145,1.739,0.043,0.087,5.957,0.087,17.029,Average
B Bhandari,NEP,15.95,109.24,0.123,1.333,0.259,0.037,5.593,0.074,17.424,Average
R Lutaaya,UGA,19.93,128.62,0.169,2.625,0.0,0.062,8.438,0.062,25.634,Good
Bakhtiar Tahiri,BUL,31.7,116.97,0.17,4.182,0.091,0.0,9.364,0.091,37.079,Good
Zaheer Ibrahim,QAT,18.64,113.21,0.154,1.955,0.227,0.136,5.864,0.045,21.102,Good
P Baron,Arg,22.57,102.59,0.13,2.667,0.067,0.0,9.6,0.133,23.155,Good
Junaid Aziz,BHR,24.23,114.96,0.161,2.316,0.316,0.0,5.947,0.053,27.855,Good
Abhijeet Ahuja,HUN,18.47,95.73,0.098,1.778,0.056,0.167,9.556,0.111,17.681,Average
NJ Ferraby,JER,18.47,110.56,0.144,2.278,0.056,0.167,8.111,0.056,20.42,Good
DC Smith,PHI,19.5,100.97,0.107,1.941,0.059,0.118,9.529,0.059,19.689,Average
Faheem Ashraf,PAK,12.44,129.04,0.154,1.121,0.242,0.121,3.848,0.0,16.053,Average
Muhammad Kashif,KUW,22.21,105.78,0.119,1.944,0.222,0.056,7.833,0.111,23.494,Good
MA Baig,MWI,23.84,106.89,0.124,2.0,0.278,0.167,8.778,0.056,25.483,Good
CR Brathwaite,WI,14.76,113.13,0.128,1.296,0.222,0.111,4.667,0.0,16.698,Average
JJ Atkinson,HKG,22.07,111.55,0.144,2.5,0.125,0.188,8.188,0.125,24.619,Good
A Kheterpal,HUN,28.09,119.76,0.159,2.278,0.389,0.111,7.278,0.0,33.641,Good
Khushdil Shah,PAK,20.6,110.75,0.125,1.591,0.318,0.0,6.5,0.0,22.815,Good
ML Hayden,AUS,51.33,143.92,0.234,5.556,0.333,0.0,9.111,0.444,73.874,Good
PD Salt,ENG,22.0,148.79,0.222,3.067,0.067,0.133,6.8,0.133,32.734,Good
T Tshose,BOT,20.46,146.88,0.158,1.571,0.286,0.095,7.095,0.048,30.052,Good
Usman Khan,Fran,34.11,126.85,0.169,3.727,0.182,0.091,11.545,0.273,43.269,Good
Waqas Barkat,HKG,13.95,92.19,0.075,1.0,0.12,0.12,8.28,0.0,12.861,Average
Ayaan Khan,OMA,21.85,116.34,0.106,1.867,0.067,0.0,12.133,0.067,25.42,Good
Shubman Gill,IND,30.4,146.85,0.193,3.636,0.091,0.0,10.182,0.273,44.642,Good
GP Meade,ITA,16.83,103.06,0.099,1.261,0.217,0.13,7.435,0.043,17.345,Average
Osama Mahmood,SUI,27.54,115.2,0.141,2.846,0.154,0.154,11.0,0.154,31.726,Good
BM Duckett,ENG,33.44,146.82,0.2,3.727,0.182,0.0,12.091,0.091,49.097,Good
Imran Ali Butt,BHR,21.5,90.93,0.094,2.067,0.067,0.267,10.333,0.133,19.55,Average
R Shepherd,WI,37.62,153.57,0.179,2.188,0.5,0.062,6.938,0.0,57.773,Good
XM Marshall,USA/WI,17.64,103.44,0.121,1.944,0.056,0.111,7.889,0.0,18.247,Average
Zahir Mohammed,HUN,17.64,150.75,0.226,2.647,0.0,0.059,4.471,0.059,26.592,Good
NL McCullum,NZ,11.5,100.67,0.091,0.659,0.366,0.098,4.268,0.0,11.577,Average
R Panchal,ESP,27.18,90.33,0.06,1.111,0.389,0.056,11.167,0.056,24.552,Good
Arjun Vinod,SUI,23.0,115.89,0.143,2.176,0.235,0.059,8.059,0.059,26.655,Good
RR Sarwan,WI,22.92,104.19,0.087,1.562,0.188,0.062,11.625,0.125,23.88,Good
Simi Singh,IRE,10.2,108.42,0.095,0.65,0.275,0.2,4.4,0.025,11.059,Average
H Patel,CAN,21.0,103.15,0.109,2.067,0.067,0.133,10.933,0.133,21.662,Good
C Karunaratne,SL,16.16,106.2,0.099,0.794,0.471,0.176,4.676,0.0,17.162,Average
CA Lynn,AUS,19.4,131.67,0.19,2.625,0.062,0.062,5.938,0.0,25.544,Good
HDRL Thirimanne,SL,16.16,108.98,0.12,1.6,0.1,0.05,7.65,0.0,17.611,Average
MTMMJ Ave,COK,72.5,128.88,0.178,6.667,0.333,0.0,18.333,0.5,93.438,Good
Aaron Jones,USA,26.27,105.09,0.095,1.529,0.353,0.0,9.941,0.059,27.607,Good
Aaftab Alam Khan,MLT,15.21,122.97,0.157,1.423,0.269,0.192,4.577,0.038,18.704,Average
Karan KC,NEP,15.21,156.21,0.205,1.407,0.296,0.074,3.37,0.0,23.76,Good
AN Kervezee,NED,32.11,110.3,0.095,2.5,0.1,0.0,17.7,0.2,35.417,Good
J Broad,GER,41.14,119.5,0.12,3.222,0.222,0.0,18.444,0.333,49.162,Good
S Singh,KENYA,22.15,95.68,0.103,1.722,0.278,0.0,8.778,0.0,21.193,Good
Ameer Saiyed,BOT,19.13,100.7,0.123,2.333,0.0,0.0,9.0,0.067,19.264,Average
HA Jackson,Fran,16.88,98.28,0.096,1.556,0.056,0.056,9.278,0.056,16.59,Average
A Venkatesh,SWE,20.5,105.51,0.099,1.688,0.125,0.125,10.938,0.062,21.63,Good
A Bagai,CAN,40.57,114.05,0.108,3.0,0.222,0.0,19.556,0.222,46.27,Good
NN Odhiambo,KENYA,10.92,104.41,0.136,1.194,0.161,0.194,4.0,0.0,11.402,Average
Hamza Dar,ESP,23.58,112.3,0.111,1.867,0.2,0.067,9.933,0.067,26.48,Good
Amir Zaib,PORT,21.69,134.28,0.162,2.267,0.133,0.133,8.533,0.0,29.125,Good
Habib Khan,EST,23.5,120.0,0.132,2.583,0.0,0.083,10.333,0.25,28.2,Good
N Knights,IOM,16.58,143.14,0.213,2.471,0.0,0.235,4.706,0.118,23.733,Good
Mohammad Shahzad,UAE,15.61,117.57,0.151,1.8,0.1,0.1,5.75,0.05,18.353,Average
PA Raikes,GIBR,31.22,114.69,0.127,2.818,0.182,0.0,12.818,0.182,35.806,Good
Aminuddin Ramly,MAL,16.47,148.14,0.175,1.571,0.19,0.048,5.143,0.0,24.399,Good
TG Southee,NZ,11.2,143.58,0.185,0.8,0.444,0.111,2.267,0.0,16.081,Average
KJ Stagno,GIBR,23.33,167.66,0.246,3.154,0.077,0.154,4.923,0.077,39.115,Good
TC Bruce,NZ,18.6,122.36,0.136,1.824,0.118,0.118,8.294,0.118,22.759,Good
T Perera,BOT,23.0,90.49,0.118,2.4,0.2,0.067,8.133,0.0,20.813,Good
SC Getkate,IRE,11.95,111.78,0.102,0.962,0.115,0.038,5.577,0.0,13.358,Average
TAM Siriwardana,SL,17.18,132.21,0.135,1.474,0.158,0.211,7.316,0.0,22.714,Good
Fanyan Mughal,MLT,16.11,110.93,0.15,1.947,0.105,0.0,5.158,0.053,17.871,Average
G Kansonkho,MWI,19.57,78.73,0.069,1.333,0.222,0.056,9.778,0.056,15.407,Average
LB Ferbrache,GUE,16.0,89.18,0.043,0.65,0.15,0.1,10.6,0.05,14.269,Average
AC Gilchrist,AUS,22.66,141.66,0.208,3.077,0.077,0.0,6.615,0.0,32.1,Good
Yasim Murtaza,HKG,22.66,116.73,0.146,2.615,0.077,0.0,9.077,0.077,26.451,Good
Amjad Javed,UAE,18.06,111.98,0.132,1.778,0.167,0.056,6.278,0.056,20.224,Good
BJ McCarthy,IRE,15.05,127.83,0.16,1.214,0.357,0.214,3.75,0.036,19.238,Average
J van Heerden,GER,45.16,120.44,0.169,4.222,0.333,0.0,12.778,0.111,54.391,Good
BR McDermott,AUS,15.82,94.38,0.084,1.143,0.19,0.143,7.476,0.048,14.931,Average
M Spoors,CAN,38.42,119.55,0.16,4.0,0.222,0.111,12.556,0.333,45.931,Good
MV Boucher,SA,17.86,97.45,0.087,1.143,0.286,0.0,8.0,0.0,17.405,Average
FA Allen,WI,16.68,136.92,0.185,1.5,0.333,0.167,3.375,0.0,22.838,Good
JS Malhotra,USA,19.07,118.14,0.133,2.0,0.067,0.0,8.467,0.067,22.529,Good
Mohammad Ihsan,ESP,44.5,161.81,0.261,4.3,0.4,0.0,6.9,0.2,72.005,Good
TW Nightingale,GUE,19.07,104.7,0.094,1.5,0.125,0.0,9.812,0.0,19.966,Average
MD Patel,USA,17.8,122.47,0.174,2.235,0.118,0.059,5.706,0.0,21.8,Good
Sheraz Sheikh,Belg,19.07,113.13,0.148,2.059,0.176,0.059,5.824,0.0,21.574,Good
C Tommy,VAN,15.7,93.68,0.088,1.471,0.0,0.118,8.647,0.0,14.708,Average
JP Kaltapau,VAN,20.46,98.51,0.1,2.077,0.0,0.077,11.846,0.077,20.155,Good
JP Inglis,AUS,26.5,144.02,0.174,2.667,0.167,0.083,10.25,0.0,38.165,Good
SS McKechnie,HKG,17.6,98.14,0.078,0.875,0.375,0.083,7.25,0.0,17.273,Average
Amjad Sher,Fin,11.95,150.28,0.16,1.167,0.083,0.083,4.958,0.0,17.958,Average
Jaspal Singh,MLT,21.91,110.97,0.152,2.4,0.2,0.067,5.667,0.133,24.314,Good
Muhamad Syahadat,MAL,26.2,130.34,0.149,1.667,0.444,0.056,6.444,0.0,34.149,Good
Muhammad Younis,BHR,20.15,129.06,0.187,2.714,0.071,0.143,6.286,0.071,26.006,Good
Devender Singh,Ghana,26.1,119.17,0.123,1.5,0.444,0.0,7.5,0.0,31.103,Good
D Pretorius,SA,21.75,164.15,0.233,2.176,0.294,0.118,4.882,0.059,35.703,Good
AJ Mosca,ITA,43.33,123.22,0.128,3.375,0.25,0.0,18.25,0.25,53.391,Good
Shoaib Khan,OMA,20.0,116.59,0.148,1.941,0.235,0.176,6.824,0.059,23.318,Good
WA Young,NZ,20.0,102.36,0.138,2.692,0.0,0.0,8.0,0.154,20.472,Good
Bilal Zalmai,Aut,43.16,175.0,0.264,5.571,0.143,0.0,10.143,0.286,75.53,Good
K Doriga,PNG,12.33,100.77,0.093,0.96,0.16,0.08,5.88,0.0,12.425,Average
Mahedi Hasan,BAN,12.33,104.85,0.109,0.964,0.25,0.179,4.75,0.0,12.928,Average
T Taibu,ZIM,28.77,100.77,0.082,1.4,0.4,0.133,11.4,0.0,28.992,Good
