name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,duck_index,RwoB_index,big_match_index,prelim_metric,prelim_rank
NK Aneesh Kumar,SUI,9.75,105.4,0.108,0.571,0.429,0.143,2.429,0.0,10.276,Poor
RR David,CAN,9.75,60.0,0.046,0.75,0.0,0.0,6.25,0.0,5.85,Poor
Eric Phiri,SWZ,4.33,70.9,0.091,0.556,0.0,0.0,2.111,0.0,3.07,Poor
Fayaz Khan,GER,9.75,130.0,0.167,0.833,0.333,0.333,2.5,0.0,12.675,Poor
CK Jasmat,Samoa,7.8,105.4,0.108,0.8,0.0,0.0,4.2,0.0,8.221,Poor
CA Keita,Mali,7.8,76.47,0.118,1.2,0.0,0.6,2.2,0.0,5.965,Poor
Qamar Mushtaque,NOR,19.5,150.0,0.154,0.571,0.714,0.0,2.714,0.0,29.25,Poor
S Rossi,Arg,4.87,90.69,0.07,0.333,0.111,0.444,2.778,0.0,4.417,Poor
D Ahir,PNM,7.6,105.55,0.139,1.0,0.0,0.4,2.8,0.0,8.022,Poor
J Baguma,UGA,12.66,77.55,0.061,0.5,0.5,0.0,4.333,0.0,9.818,Poor
R Flannigan,SCOT,12.66,115.15,0.121,1.0,0.25,0.25,5.5,0.0,14.578,Poor
AK Kitchen,NZ,12.66,118.75,0.125,1.0,0.25,0.0,5.0,0.0,15.034,Poor
C Kyewuta,UGA,7.6,105.55,0.111,0.571,0.286,0.143,2.857,0.0,8.022,Poor
H Pragji,BOT,12.66,58.46,0.015,0.25,0.25,0.0,8.5,0.0,7.401,Poor
Zhuang Zelin,CHN,9.5,70.37,0.037,0.5,0.0,0.5,7.5,0.0,6.685,Poor
JB Abega,CAM,2.84,40.21,0.011,0.077,0.0,0.385,2.538,0.0,1.142,Poor
ASF Sirah,PHI,12.33,123.33,0.1,0.75,0.25,0.25,5.75,0.0,15.207,Poor
SJ Benn,WI,12.33,88.09,0.143,0.857,0.571,0.143,1.571,0.0,10.861,Poor
JS Foster,ENG,12.33,115.62,0.031,0.2,0.4,0.0,6.2,0.0,14.256,Poor
J Hirschi,MLT,9.25,59.67,0.0,0.0,0.0,0.0,9.25,0.0,5.519,Poor
V Jayant,LES,9.25,66.07,0.054,0.75,0.0,0.25,5.75,0.0,6.111,Poor
ML Kostic,SRB,6.16,82.22,0.111,0.714,0.143,0.0,2.429,0.0,5.065,Poor
HGV Vare,PNG,6.16,86.04,0.07,0.429,0.143,0.143,3.571,0.0,5.3,Poor
BM Wheeler,NZ,18.5,132.14,0.179,1.25,0.5,0.0,3.25,0.0,24.446,Poor
Anas Khan,HKG,18.0,63.15,0.035,0.5,0.5,0.5,7.0,0.0,11.367,Poor
MT Diaby,Mali,6.0,59.01,0.049,0.5,0.0,0.167,4.0,0.0,3.541,Poor
Ibrahim Nashath,MDV,6.0,39.56,0.011,0.111,0.333,0.333,3.556,0.0,2.374,Poor
Imran Arif,KSA,9.0,75.0,0.083,1.0,0.0,0.0,3.5,0.0,6.75,Poor
KDA Lukies,PHI,12.0,83.72,0.07,0.5,0.5,0.0,4.0,0.0,10.046,Poor
B Maphosa,BOT,18.0,83.72,0.047,0.4,0.6,0.0,5.2,0.0,15.07,Poor
EJB Miles,JER,7.2,75.0,0.042,0.222,0.444,0.333,3.111,0.0,5.4,Poor
M Mooketsi,BOT,3.0,58.06,0.016,0.067,0.2,0.267,2.133,0.0,1.742,Poor
Mohsin Hub,Peru,12.0,87.8,0.049,0.5,0.25,0.25,7.0,0.0,10.536,Poor
D Teinaki,COK,9.0,94.73,0.132,1.25,0.0,0.0,2.5,0.0,8.526,Poor
Abdul Shakoor,UAE,17.5,87.5,0.075,0.75,0.5,0.0,5.75,0.0,15.312,Poor
N Ahir,PNM,17.5,47.29,0.054,1.0,0.5,0.5,4.75,0.0,8.276,Poor
Aminul Islam,BAN,11.66,85.36,0.098,0.571,0.571,0.0,2.714,0.0,9.953,Poor
